"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","HubScore","z","module","p","roles","label","role_7"
"MAG_530",2,0.75,0,2,0,0,"27",0.375,"Peripherals","","peripheral"
"MAG_532",1,1,0,1,0,0,"59",0,"Peripherals","","ultra peripheral"
"MAG_533",1,1,0,1,0,0,"41",0,"Peripherals","","ultra peripheral"
"MAG_534",6,0.4125,20.7221578421578,6,0,-0.142923482061706,"1",0,"Peripherals","","ultra peripheral"
"MAG_537",14,0.423076923076923,78.2888677988678,14,0,1.80756168489805,"1",0,"Peripherals","","ultra peripheral"
"MAG_542",2,0.666666666666667,4,2,0,0.730296743340221,"7",0,"Peripherals","","ultra peripheral"
"MAG_545",5,0.392857142857143,34.055,5,0,-0.386734127931675,"1",0,"Peripherals","","ultra peripheral"
"MAG_547",1,1,0,1,0,0,"11",0,"Peripherals","","ultra peripheral"
"MAG_551",2,0.191860465116279,0,2,0,-0.239045721866879,"5",0,"Peripherals","","ultra peripheral"
"MAG_552",1,1,0,1,0,0,"16",0,"Peripherals","","ultra peripheral"
"MAG_553",1,1,0,1,0,0,"44",0,"Peripherals","","ultra peripheral"
"MAG_556",1,0.555555555555556,0,1,0,-1.95180014589707,"34",0,"Peripherals","","ultra peripheral"
"MAG_563",8,0.471428571428571,120.933741258741,8,0,0.344697809678232,"1",0,"Peripherals","","ultra peripheral"
"MAG_564",1,1,0,1,0,0,"41",0,"Peripherals","","ultra peripheral"
"MAG_566",4,0.370786516853933,140,4,0,-0.630544773801644,"1",0,"Peripherals","","ultra peripheral"
"MAG_568",3,0.292035398230089,119,3,0,0.956182887467515,"5",0,"Peripherals","","ultra peripheral"
"MAG_570",2,0.290322580645161,0,2,0,-0.745443873651175,"2",0,"Peripherals","","ultra peripheral"
"MAG_571",8,0.44,38.7083261183261,8,0,0.344697809678232,"1",0,"Peripherals","","ultra peripheral"
"MAG_572",1,1,0,1,0,0,"17",0,"Peripherals","","ultra peripheral"
"MAG_575",2,0.75,0,2,0,0,"9",0,"Peripherals","","ultra peripheral"
"MAG_580",1,1,0,1,0,0,"33",0,"Peripherals","","ultra peripheral"
"MAG_581",1,1,0,1,0,0,"29",0,"Peripherals","","ultra peripheral"
"MAG_585",8,0.4125,18.4614119214119,8,0,0.344697809678232,"1",0,"Peripherals","","ultra peripheral"
"MAG_587",1,0.666666666666667,0,1,0,-0.577350269189626,"12",0,"Peripherals","","ultra peripheral"
"MAG_588",13,0.417721518987342,21.4507725607726,13,0,1.56375103902808,"1",0,"Peripherals","","ultra peripheral"
"MAG_591",1,1,0,1,0,0,"38",0,"Peripherals","","ultra peripheral"
