"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map00730","map00730","Thiamine metabolism",36,29,21,2,19,-10.348197693283,-9.15751275118296,3.14450165659271,-0.378656166265238,0.342,0.409322834645669
"map01055","map01055","Biosynthesis of vancomycin group antibiotics",29,28,22,5,17,-10.1604055943707,-8.95537768320452,3.25307668964935,-0.370427145170087,0.357,0.419567010309278
"map05111","map05111","Biofilm formation - Vibrio cholerae",106,80,61,17,44,-14.0515945858541,-15.1566384432865,3.09116784319309,0.357484262740956,0.349,0.413361038961039
"map00740","map00740","Riboflavin metabolism",54,42,34,8,26,-12.0403497973035,-10.9765276816057,3.10981075008249,-0.342085805597524,0.365,0.421367088607595
"map00604","map00604","Glycosphingolipid biosynthesis - ganglio series",14,4,2,0,2,-4.70477981874652,-3.67438321517321,3.13799064795412,-0.328361910270542,0.389,0.44346
"map03450","map03450","Non-homologous end-joining",19,5,4,1,3,-2.75457198681466,-3.76522667533341,3.14036790833232,0.32182684259293,0.362,0.421279187817259
"map00710","map00710","Carbon fixation by Calvin cycle",36,29,20,4,16,-9.88778693909928,-9.0570074127677,3.10842463196679,-0.267267064411956,0.404,0.450425427872861
"map00901","map00901","Indole alkaloid biosynthesis",57,5,5,1,4,-4.71339695423249,-3.86423982687687,3.22504377209546,-0.263300961897915,0.419,0.460353221957041
"map00073","map00073","Cutin, suberine and wax biosynthesis",15,9,5,0,5,-5.97865958715027,-5.16515914853185,3.13425224009583,-0.259551681326565,0.409,0.452679611650485
"map04146","map04146","Peroxisome",74,45,31,7,24,-10.7090326004796,-11.4895984861205,3.21454852473497,0.242822865990254,0.398,0.448118518518519
"map00525","map00525","Acarbose and validamycin biosynthesis",27,25,15,3,12,-9.22847010241323,-8.48409019226357,3.16430561560032,-0.235242735872224,0.426,0.462514285714286
"map03060","map03060","Protein export",49,28,19,4,15,-8.16515944636119,-8.91123515465323,3.23434194529916,0.230673107825349,0.4,0.448176470588235
"map00230","map00230","Purine metabolism",223,167,118,27,91,-22.7086448686388,-22.0244063803179,3.17102163669214,-0.215778561837463,0.421,0.460353221957041
"map00350","map00350","Tyrosine metabolism",84,64,48,12,36,-14.346294103844,-13.6916606663704,3.17899251675438,-0.205924812349665,0.422,0.460353221957041
"map00380","map00380","Tryptophan metabolism",80,55,37,8,29,-11.9048455050585,-12.5463534152922,3.16102817434638,0.2029428005229,0.396,0.446970297029703
"map00220","map00220","Arginine biosynthesis",67,55,39,11,28,-12.0924286964865,-12.6552623867432,2.97864707061747,0.188956152546151,0.421,0.460353221957041
"map00261","map00261","Monobactam biosynthesis",28,28,16,4,12,-9.59484459433983,-9.0507052188631,3.12785936361899,-0.173965422424604,0.429,0.463563981042654
"map00310","map00310","Lysine degradation",98,62,47,10,37,-12.9174311137799,-13.4539995829286,3.28848632080085,0.163165790216198,0.408,0.452671532846715
"map00523","map00523","Polyketide sugar unit biosynthesis",59,51,41,10,31,-12.6795174745321,-12.1949453341268,3.0754930142522,-0.157559174467238,0.445,0.475222482435597
"map00440","map00440","Phosphonate and phosphinate metabolism",47,36,20,3,17,-10.4823158277372,-10.0737342619306,3.15531281317606,-0.129490034744091,0.445,0.475222482435597
"map00051","map00051","Fructose and mannose metabolism",115,100,73,16,57,-17.492921791404,-17.1170778966915,3.15528228851441,-0.119115774864455,0.454,0.480221709006928
"map00909","map00909","Sesquiterpenoid and triterpenoid biosynthesis",75,16,9,1,8,-7.22252886414412,-6.84449770563575,3.21077399973611,-0.117738326814483,0.47,0.489315068493151
"map00521","map00521","Streptomycin biosynthesis",21,18,14,4,10,-7.01740616999673,-7.31317347962538,3.18382497681785,0.0928968494757697,0.443,0.475222482435597
"map00983","map00983","Drug metabolism - other enzymes",32,27,18,3,15,-8.9791725797284,-8.70092513237978,3.07774249874439,-0.0904063440856848,0.473,0.491316628701595
