"","KO_id","average_RP","sd_RP","average_RS","sd_RS","diff_mean","Highest","p.value","p.adjust","sign","type","origin_p.value","origin_p.adjust","Z_score","Significantly","gene","Description"
"18","K00019",4947.98364647059,372.860825591079,3671.01312058824,420.016373121308,-1276.97052588235,"RP",5.14225574870125e-09,3.43387460978165e-08,-1,"Depleted",1.02845114974025e-08,6.86774921956329e-08,-5.39459706842679,"Depleted","BDH1, bdhA","3-hydroxybutyrate dehydrogenase  [EC:1.1.1.30] "
"19","K00020",5312.68859370589,468.241273699049,3657.84478870589,497.497305782183,-1654.843805,"RP",4.28521312391771e-10,5.37997560083099e-09,-1,"Depleted",8.57042624783542e-10,1.0759951201662e-08,-5.71829296656914,"Depleted","HIBADH, mmsB","3-hydroxyisobutyrate dehydrogenase  [EC:1.1.1.31] "
"20","K00021",175.798641411765,66.3753285278203,231.812973,57.9526120502899,56.0143315882352,"RS",0.00588413498486476,0.00934877081258534,1,"Enriched",0.0117682699697295,0.0186975416251707,2.3515069241594,"Enriched","HMGCR","hydroxymethylglutaryl-CoA reductase (NADPH)  [EC:1.1.1.34] "
"21","K00022",0.774473764705882,0.847996416219618,1.79230323529412,1.08607266516976,1.01782947058824,"RS",0.000994996919403138,0.00186281494473857,1,"Enriched",0.00198999383880628,0.00372562988947715,2.90050407921158,"Enriched","HADH","3-hydroxyacyl-CoA dehydrogenase  [EC:1.1.1.35] "
"22","K00023",4206.80440382353,848.09755824848,2732.99654758824,459.414390401049,-1473.80785623529,"RP",2.87109279302487e-08,1.48106072099483e-07,-1,"Depleted",5.74218558604973e-08,2.96212144198966e-07,-5.12584123449441,"Depleted","phbB","acetoacetyl-CoA reductase  [EC:1.1.1.36] "
"23","K00024",10225.7213344118,1024.5670449191,8694.51431382353,940.288842185868,-1531.20702058822,"RP",2.10202559367535e-05,5.40085107721965e-05,-1,"Depleted",4.20405118735071e-05,0.000108017021544393,-3.87183961569052,"Depleted","mdh","malate dehydrogenase  [EC:1.1.1.37] "
"24","K00027",8758.73569705881,1241.38264578623,7035.03577905883,1296.37169122546,-1723.69991799998,"RP",4.46737753381545e-05,0.000107402606843327,-1,"Depleted",8.9347550676309e-05,0.000214805213686654,-3.70093651980453,"Depleted","ME2, sfcA, maeA","malate dehydrogenase (oxaloacetate-decarboxylating)  [EC:1.1.1.38] "
"25","K00028",0,0,0.00961747058823529,0.0281973532670126,0.00961747058823529,"RS",0.081770425845492,0.0996473610505793,1,"Enriched",0.163540851690984,0.199294722101159,1.28356351633863,"None","E1.1.1.39","malate dehydrogenase (decarboxylating)  [EC:1.1.1.39] "
"26","K00029",9926.40092505882,1658.68055279675,7085.84029364706,1052.00635183553,-2840.56063141176,"RP",3.08021119347205e-06,9.24370457861503e-06,-1,"Depleted",6.1604223869441e-06,1.84874091572301e-05,-4.28241701208944,"Depleted","E1.1.1.40, maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)  [EC:1.1.1.40] "
"27","K00030",1065.32855858824,240.551818226782,1723.0937987647,228.171376217186,657.76524017647,"RS",8.14190493544365e-09,5.06084333622827e-08,1,"Enriched",1.62838098708873e-08,1.01216866724565e-07,5.32452556536992,"Enriched","IDH3","isocitrate dehydrogenase (NAD+)  [EC:1.1.1.41] "
"28","K00031",20052.4835157647,2697.46205744841,18955.8629448235,2508.57689586849,-1096.62057094116,"RP",0.102689868558887,0.122438702460784,-1,"Depleted",0.205379737117773,0.244877404921567,-1.16288194213555,"None","IDH1, IDH2, icd","isocitrate dehydrogenase  [EC:1.1.1.42] "
"29","K00032",8.66682752941176,21.9225240429034,2.20449364705882,1.43554465736911,-6.46233388235294,"RP",0.0425412891640304,0.0551698752191864,-1,"Depleted",0.0850825783280609,0.110339750438373,-1.59666791877485,"None","E1.1.1.43","phosphogluconate 2-dehydrogenase  [EC:1.1.1.43] "
"30","K00033",6499.20530288235,1414.74938174159,4760.527634,990.276003330407,-1738.67766888235,"RP",0.000204095273623328,0.000437476783768002,-1,"Depleted",0.000408190547246656,0.000874953567536004,-3.32792519566434,"Depleted","PGD, gnd, gntZ","6-phosphogluconate dehydrogenase  [EC:1.1.1.44 1.1.1.343] "
"31","K00034",3074.92324552941,261.38350607249,1849.6688812353,319.351062437241,-1225.25436429411,"RP",4.28521312391771e-10,5.37997560083099e-09,-1,"Depleted",8.57042624783542e-10,1.0759951201662e-08,-5.71829296656914,"Depleted","gdh","glucose 1-dehydrogenase  [EC:1.1.1.47] "
