"Phylum","Label","Id","att1","att2","att3","att4","Class","Order","Family","Genus","Species","category","enrich","significant","color"
"Chloroflexota","MAG_200",100,"MAG_200","Chloroflexota",3.864525,"M66","UBA6077","UBA6077","CF-72","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_205",102,"MAG_205","Chloroflexota",2.480033,"M32","Anaerolineae","Anaerolineales","EnvOPS12","UBA12294","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_431",211,"MAG_431","Chloroflexota",0.019961,"M4","Chloroflexia","Thermomicrobiales","Unassign","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_275",127,"MAG_275","Chloroflexota",3.092685,"M66","UBA6077","UBA6077","CF-72","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_288",133,"MAG_288","Chloroflexota",0.563606,"M67","Chloroflexia","Thermomicrobiales","UBA6265","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_472",223,"MAG_472","Chloroflexota",0.079841,"M3","Limnocylindria","Limnocylindrales","CSP1-4","SPCO01","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_230",113,"MAG_230","Chloroflexota",0.062693,"M4","Chloroflexia","Thermomicrobiales","Unassign","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_338",162,"MAG_338","Chloroflexota",0.010706,"M39","Chloroflexia","Thermomicrobiales","UBA6265","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_435",212,"MAG_435","Chloroflexota",0.001954,"M1","Anaerolineae","Anaerolineales","JABWBV01","JABWBV01","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_398",197,"MAG_398","Chloroflexota",0.029917,"M4","Chloroflexia","Thermomicrobiales","UBA6265","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_464",220,"MAG_464","Chloroflexota",0.070521,"M3","Limnocylindria","QHBO01","QHBO01","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_314",153,"MAG_314","Chloroflexota",0.372905,"M67","Chloroflexia","Thermomicrobiales","UBA6265","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_064",27,"MAG_064","Chloroflexota",2.188187,"M32","Anaerolineae","Anaerolineales","EnvOPS12","UBA12294","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_253",119,"MAG_253","Chloroflexota",0.064788,"M3","Limnocylindria","QHBO01","QHBO01","Unassign","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_343",165,"MAG_343","Chloroflexota",0.073536,"M1","Anaerolineae","Anaerolineales","EnvOPS12","UBA12294","Unassign","RS sig","RS","Y","#FDDAEC"
"Chloroflexota","MAG_042",30,"MAG_042","Chloroflexota",1.091492,"M32","Anaerolineae","Anaerolineales","EnvOPS12","UBA12294","Unassign","RS sig","RS","Y","#FDDAEC"
"Desulfobacterota_B","MAG_308",148,"MAG_308","Desulfobacterota_B",0.756607,"M8","Binatia","UBA9968","UBA9968","WHTF01","Unassign","RS sig","RS","Y","#B3E2CD"
"Desulfobacterota_B","MAG_229",112,"MAG_229","Desulfobacterota_B",0.067509,"M8","Binatia","UBA9968","UBA9968","DP-20","Unassign","RS sig","RS","Y","#B3E2CD"
"Desulfobacterota_B","MAG_171",81,"MAG_171","Desulfobacterota_B",0.339335,"M8","Binatia","UBA9968","UBA9968","WHTF01","Unassign","RS sig","RS","Y","#B3E2CD"
"Desulfobacterota_B","MAG_523",245,"MAG_523","Desulfobacterota_B",0.567833,"M8","Binatia","UBA9968","UBA9968","WHTF01","Unassign","RS sig","RS","Y","#B3E2CD"
"Desulfobacterota_B","MAG_053",19,"MAG_053","Desulfobacterota_B",0.765911,"M8","Binatia","UBA9968","UBA9968","WHTF01","Unassign","RS sig","RS","Y","#B3E2CD"
"Desulfobacterota_B","MAG_566",263,"MAG_566","Desulfobacterota_B",0.041509,"M1","Binatia","UBA9968","UBA9968","DP-20","Unassign","RS sig","RS","Y","#B3E2CD"
"Desulfobacterota_B","MAG_556",260,"MAG_556","Desulfobacterota_B",0.015723,"M8","Binatia","UBA9968","UBA9968","DP-20","Unassign","RS sig","RS","Y","#B3E2CD"
"Eisenbacteria","MAG_465",221,"MAG_465","Eisenbacteria",0.009488,"M14","RBG-16-71-46","JABDJR01","Unassign","Unassign","Unassign","RS sig","RS","Y","#FB8072"
"Eisenbacteria","MAG_517",240,"MAG_517","Eisenbacteria",0.028736,"M1","RBG-16-71-46","RBG-16-71-46","RBG-16-71-46","WS-8","Unassign","RS sig","RS","Y","#FB8072"
"Eisenbacteria","MAG_507",234,"MAG_507","Eisenbacteria",0.035906,"M12","RBG-16-71-46","RBG-16-71-46","Unassign","Unassign","Unassign","RS sig","RS","Y","#FB8072"
"Firmicutes","MAG_014",6,"MAG_014","Firmicutes",0.549302,"M2","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_215",109,"MAG_215","Firmicutes",0.388543,"M2","Bacilli","Bacillales_B","DSM-18226","Neobacillus","Unassign","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_043",31,"MAG_043","Firmicutes",0.287419,"M2","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_111",56,"MAG_111","Firmicutes",0.064402,"M2","Bacilli","Bacillales_D","Amphibacillaceae","Terribacillus","Terribacillus saccharophilus","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_067",35,"MAG_067","Firmicutes",0.035555,"M2","Bacilli","Bacillales","Bacillaceae_H","Bacillus_I","Bacillus_I endophytica","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_159",77,"MAG_159","Firmicutes",0.213252,"M2","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","Unassign","RP","RP","N","#DECBE4"
"Firmicutes","MAG_148",73,"MAG_148","Firmicutes",0.068456,"M2","Bacilli","Bacillales_G","Fictibacillaceae","Fictibacillus","Fictibacillus barbaricus","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_108",54,"MAG_108","Firmicutes",0.16145,"M2","Bacilli","Bacillales","Bacillaceae","Metabacillus","Metabacillus sp004801455","RP","RP","N","#DECBE4"
"Firmicutes","MAG_142",69,"MAG_142","Firmicutes",0.106374,"M2","Bacilli","Bacillales","Bacillaceae","Bacillus_P","Unassign","RP","RP","N","#DECBE4"
"Firmicutes","MAG_136",66,"MAG_136","Firmicutes",0.040511,"M2","Bacilli","Bacillales_D","Amphibacillaceae","Terribacillus","Terribacillus saccharophilus","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_102",50,"MAG_102","Firmicutes",1.175237,"M2","Bacilli","Bacillales","Bacillaceae_H","Priestia","Priestia megaterium","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_183",88,"MAG_183","Firmicutes",0.037506,"M2","Bacilli","Bacillales_G","Fictibacillaceae","Fictibacillus","Fictibacillus barbaricus","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_274",126,"MAG_274","Firmicutes",0.02654,"M2","Bacilli","Bacillales_D","Amphibacillaceae","Terribacillus","Terribacillus saccharophilus","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_294",139,"MAG_294","Firmicutes",0.094237,"M2","Bacilli","Bacillales_D","Amphibacillaceae","Terribacillus","Terribacillus saccharophilus","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_147",72,"MAG_147","Firmicutes",0.09009,"M2","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus halotolerans","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_273",125,"MAG_273","Firmicutes",0.121715,"M2","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp001860525","RP","RP","N","#DECBE4"
"Firmicutes","MAG_081",38,"MAG_081","Firmicutes",0.099264,"M2","Bacilli","Bacillales","Bacillaceae","Bacillus_P","Unassign","RP","RP","N","#DECBE4"
