,YL.RP.1488,YL.RP.342,YL.RP.348,YL.RP.977,YL.RP.995,YL.RP.9,YL.RP.Si051,YL.RP.Si062,YL.RP.Si079,YL.RP.Si080,YL.RP.Si081,YL.RP.Si083,YL.RP.Si090,YL.RP.Si214,YL.RP.Si248,YL.RP.Si249,YL.RP.Si268,YL.RS.1488,YL.RS.342,YL.RS.348,YL.RS.977,YL.RS.995,YL.RS.9,YL.RS.Si051,YL.RS.Si062,YL.RS.Si079,YL.RS.Si080,YL.RS.Si081,YL.RS.Si083,YL.RS.Si090,YL.RS.Si214,YL.RS.Si248,YL.RS.Si249,YL.RS.Si268
MAG_307,935.264077,732.791542,1826.272999,1018.343909,734.222608,1824.929948,683.427921,579.682219,727.901631,926.543361,967.4249,1169.015555,1121.432425,426.995277,1974.384238,2356.013061,1209.406704,2455.135834,1802.477447,3237.660094,3051.921479,4160.395922,1398.549282,2958.145533,3061.692162,5264.935703,1743.730345,4756.17622,4180.305683,2660.632149,1383.95834,4592.42651,3151.966527,3437.365435
MAG_308,2222.823139,2938.696952,4127.786273,2351.620654,2709.498214,2438.669298,877.263683,1436.161326,1339.763718,1976.907419,1594.221611,2283.303641,2719.672853,1248.862707,3568.794946,3456.011917,1516.786258,5523.801075,8754.026715,9997.890469,9371.849391,13183.28613,4969.009998,7129.185548,5112.823361,8962.414626,3915.761062,7908.478787,8892.679632,6660.111557,3830.894175,10270.48747,8314.24442,5826.330253
MAG_309,1278.228333,851.287157,2206.330925,1089.446934,706.614063,1522.492069,561.081025,542.743286,571.653899,931.074049,1111.950902,1076.653388,1339.528295,1050.81088,1337.092897,1148.974882,1151.187248,6605.957767,6250.422661,14413.30044,8354.635493,3140.819274,4862.962841,5882.00511,8868.727234,10467.25314,5545.675469,11913.40471,9849.378474,10264.65757,7080.9427,9435.027339,7138.197551,5804.282646
MAG_310,1827.823993,1497.77714,1596.332947,1134.692175,2192.285344,2886.530849,305.381194,443.181418,667.148285,679.078899,929.467144,1271.518925,2067.697209,464.357159,1402.997789,2225.538437,693.701386,4728.109322,4593.898592,3680.675941,5072.943811,3364.735549,3294.591305,2074.28629,3265.338104,5375.083192,2690.024398,4602.481839,10393.82064,4660.775509,1757.44586,4071.003384,5851.680948,2255.723106
MAG_311,1034.972,1260.994349,1361.180597,593.401152,1588.212371,3876.104478,168.227631,203.124321,469.212908,374.394861,592.663529,1097.610938,781.071859,547.227799,723.415636,455.985568,456.97949,5695.708738,8796.948785,4298.940633,4443.417758,3569.389945,5937.201904,4026.40135,3960.636268,4680.72226,5382.330638,6068.244509,8742.31769,6528.76571,5144.089109,4748.477645,6397.028438,4147.657234
MAG_312,1259.079187,911.967348,2243.958353,1276.861879,965.364541,2239.100721,805.400667,706.511837,913.307553,1150.835994,1196.566668,1398.914427,1401.846962,533.203274,2413.159815,2832.909749,1445.810566,3197.884153,2210.178099,3897.998697,3685.523972,5160.515432,1723.295063,3642.262063,3774.527541,6295.378639,2064.562946,4012.200403,7048.737981,3192.118895,1609.798022,5458.956881,3801.201877,3980.534643
MAG_313,1048.219652,1066.394612,1228.951317,1008.19365,1151.4815,887.070474,296.070668,627.5956,562.655078,782.869737,601.153962,927.037166,658.465622,784.60232,1094.591072,1041.838837,570.124099,3226.033808,1544.627072,1944.018018,2299.856907,4890.189975,1184.690173,2413.944262,1496.934685,2525.87454,1266.337325,2900.553977,3159.602326,1692.364648,2186.829252,2468.711907,2634.405072,1620.85239
MAG_314,832.955322,629.57535,789.292371,709.182299,1088.275468,869.032109,196.163725,293.488257,402.089459,515.301828,508.579122,595.103759,734.227687,414.434589,852.416454,719.794943,499.312815,3615.91116,2532.471965,3991.261709,5771.942484,1072.233576,2213.537794,3823.666435,2588.46601,6381.934951,1923.969693,5688.772021,8249.954364,1675.408225,2349.896461,5077.454746,2119.096736,4317.879516
MAG_315,1539.199121,1182.448694,1384.594801,944.285481,1896.121253,2267.504094,283.256969,336.068753,505.262836,563.864256,783.781694,1032.654103,1803.134915,408.848174,1120.113694,1798.020622,542.771369,3885.966966,3611.942359,2921.449563,3996.30066,2890.717221,2518.664355,1660.77967,2542.386446,4286.660557,2255.678493,3894.273966,5879.351014,6999.680678,1553.983094,3170.396695,5017.479947,1932.167517
MAG_316,492.261722,432.284101,414.588482,312.723413,789.891602,1101.205803,71.874278,94.180076,199.968441,190.505913,249.925254,439.784654,298.923368,222.248502,247.714584,155.183006,184.879938,3361.099118,3677.407652,1600.699255,2924.92796,4310.698596,2485.00757,1800.393544,1735.100537,2566.126493,2412.629702,2924.334484,3654.589602,4766.210289,1977.559309,1545.723802,2208.59389,1948.56516
