"phenotype","name","coefficient","p_value","p_adj"
"FNL","GH5_24",-4.96090302377862,0.151970778368065,0.535433479267379
"FNL","GH5_25",-5.2767296628639,0.25718143338715,0.655108924846868
"FNL","GH5_26",-1.81098126006868,0.582236102593791,0.833580399360607
"FNL","GH5_27",1.81472409926645,0.478214976295993,0.77014593781998
"FNL","GH5_28",9.12073615532539,0.0171738997236491,0.404471970898946
"FNL","GH5_29",4.10296302490443,0.630020978644063,0.85692548137342
"FNL","GH5_34",-40.3613800343134,0.0638267764830929,0.505190418892659
"FNL","GH5_35",6.3618807238366,0.309013024551875,0.66156436964971
"FNL","GH5_36",-8.6517772993875,0.121424705707851,0.512371944803411
"FNL","GH5_37",-44.7190584434384,0.106820902478179,0.505190418892659
"FNL","GH5_38",-0.555195119344741,0.803607121865762,0.93443920325408
"FNL","GH5_39",3.33032043586385,0.599281898365298,0.849951058069342
"FNL","GH5_4",-8.9521977893173,0.0861588316810988,0.505190418892659
"FNL","GH5_40",-6.3125943913725,0.15045837991376,0.535433479267379
"FNL","GH5_41",3.25326493990206,0.0768501186393587,0.505190418892659
"FNL","GH5_42",-2.60020884658476,0.610765092467549,0.854403626621271
"FNL","GH5_43",7.59530775051984,0.19242269984965,0.583977141423735
"FNL","GH5_44",3.17628280067432,0.220123684760756,0.615997812993604
"FNL","GH5_45",-4.58694768688971,0.795582055040977,0.93443920325408
"FNL","GH5_46",-5.73398963155993,0.224578626762898,0.618194929583892
"FNL","GH5_47",2.73225028849985,0.582855044865424,0.833580399360607
"FNL","GH5_48",-0.14262979716045,0.968051260614184,0.988719018112141
"FNL","GH5_5",8.9674920210775,0.293816316672142,0.66156436964971
"FNL","GH5_51",-4.87937176901583,0.383430513415164,0.684029347974091
"FNL","GH5_53",-5.36418565669779,0.293155217086855,0.66156436964971
"FNL","GH5_54",-6.75227501874154,0.453859774267627,0.754837300450677
"FNL","GH5_55",-1.18246864148769,0.788808135296531,0.93443920325408
"FNL","GH5_7",-7.43335064306978,0.248081501417798,0.642581501851834
"FNL","GH5_8",-0.37610451895264,0.957217426897416,0.988449198446836
"FNL","GH5_9",NA,NA,NA
"FNL","GH6",4.18234747674899,0.596647779607435,0.849951058069342
"FNL","GH62",-1.3549218789069,0.853528600361109,0.954162976822899
"FNL","GH63",-2.49555180410899,0.759626536140191,0.932502730727425
"FNL","GH64",-2.28838755147337,0.710137482350042,0.907653164813087
"FNL","GH65",9.22280144026192,0.184956465560521,0.579434530611281
"FNL","GH66",2.64982679027376,0.044966484490787,0.460456801185659
"FNL","GH67",-3.08088950080631,0.771252871217729,0.932502730727425
"FNL","GH68",6.5284796347716,0.0357171416034678,0.451456437599278
