KO,L1,level1,L2,level2,L3,pathway,Description
K00248,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00410,beta-Alanine metabolism [PATH:ko00410],butyryl-CoA dehydrogenase  [EC:1.3.8.1] 
K00248,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],butyryl-CoA dehydrogenase  [EC:1.3.8.1] 
K00248,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],butyryl-CoA dehydrogenase  [EC:1.3.8.1] 
K00248,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",butyryl-CoA dehydrogenase  [EC:1.3.8.1] 
K00249,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",acyl-CoA dehydrogenase  [EC:1.3.8.7] 
K00249,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],acyl-CoA dehydrogenase  [EC:1.3.8.7] 
K00251,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00120,Primary bile acid biosynthesis [PATH:ko00120],3-oxo-5-beta-steroid 4-dehydrogenase  [EC:1.3.1.3] 
K00251,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00140,Steroid hormone biosynthesis [PATH:ko00140],3-oxo-5-beta-steroid 4-dehydrogenase  [EC:1.3.1.3] 
K00252,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00380,Tryptophan metabolism [PATH:ko00380],glutaryl-CoA dehydrogenase  [EC:1.3.8.6] 
K00252,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00362,Benzoate degradation [PATH:ko00362],glutaryl-CoA dehydrogenase  [EC:1.3.8.6] 
K00252,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00310,Lysine degradation [PATH:ko00310],glutaryl-CoA dehydrogenase  [EC:1.3.8.6] 
K00252,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],glutaryl-CoA dehydrogenase  [EC:1.3.8.6] 
K00253,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",isovaleryl-CoA dehydrogenase  [EC:1.3.8.4] 
K00254,l1_09100,Metabolism,l1_09104,Nucleotide metabolism,map00240,Pyrimidine metabolism [PATH:ko00240],dihydroorotate dehydrogenase  [EC:1.3.5.2] 
K00255,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],long-chain-acyl-CoA dehydrogenase  [EC:1.3.8.8] 
K00259,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00430,Taurine and hypotaurine metabolism [PATH:ko00430],alanine dehydrogenase  [EC:1.4.1.1] 
K00259,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",alanine dehydrogenase  [EC:1.4.1.1] 
